,Id,Name,AdmArea,District,Address,HelpPhone,Latitude,Longitude,NameSummer,понедельник,вторник,среда,четверг,пятница,суббота,воскресенье,Type
66,67,Фитнес-клуб «Джангл профешионал фитнес»,Северный административный округ,Дмитровский район,"Ижорский проезд, дом 17",(800) 222-56-42,55.88886422,37.516398383,зал тренажерный,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,08:00-22:00,08:00-22:00,train_gym
67,68,Фитнес клуб «Арт спорт»,Северный административный округ,район Западное Дегунино,"Ангарская улица, дом 24А",(499) 110-41-56,55.876313514,37.519306385,зал тренажерный,07:00-00:00,07:00-00:00,07:00-00:00,07:00-00:00,07:00-00:00,07:00-00:00,08:00-00:00,train_gym
68,69,Фитнес-клуб «Голдс Джим Динамо»,Северный административный округ,район Беговой,"Ленинградский проспект, дом 31, строение 30",(495) 931-96-16,55.784065306,37.562225457,зал тренажерный,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,09:00-22:00,09:00-22:00,train_gym
69,70,Фитнес-клуб «Фит Клаб»,Северный административный округ,район Западное Дегунино,"Пяловская улица, дом 7, строение 3",(499) 681-24-24,55.862595,37.540497,зал тренажерный,08:00-23:00,08:00-23:00,08:00-23:00,08:00-23:00,08:00-23:00,08:00-23:00,08:00-23:00,train_gym
70,71,Фитнес-клуб «Притяжение»,Южный административный округ,район Чертаново Северное,"Чертановская улица, дом 2, сооружение 1",(495) 020-05-15,55.636423,37.603582,зал тренажерный №1,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,train_gym
71,72,Фитнес-клуб «Зебра» Медведково,Северо-Восточный административный округ,район Северное Медведково,"Широкая улица, дом 28",(495) 150-37-17,55.885915513,37.678382216,зал тренажерный,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,train_gym
72,73,Спортивный комплекс «ЦСиО «Самбо-70» отделение «Севастопольский»,Юго-Западный административный округ,район Черёмушки,"Новочерёмушкинская улица, дом 64, корпус 3",(495) 331-39-00,55.664259523,37.557537796,зал тренажерный,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,train_gym
73,74,Государственное бюджетное учреждение города Москвы Физкультурно-досуговый центр Бригантина,Северный административный округ,район Коптево,"проезд Черепановых, дом 72, корпус 1",(495) 459-35-89,55.846127085,37.555059665,зал тренажерный,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,train_gym
74,75,Досуговый центр «Преображенец»,Восточный административный округ,район Преображенское,"2-я Пугачёвская улица, дом 10, корпус 1",(499) 161-93-92,55.793563305,37.728731358,зал тренажерный,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,train_gym
75,76,Фитнес-клуб «Алекс фитнес» Коломенское,Южный административный округ,район Нагатино-Садовники,"проспект Андропова, дом 22",(495) 604-11-44,55.682597,37.661341,зал тренажерный,06:30-00:00,07:00-00:00,07:00-00:00,07:00-00:00,07:00-00:00,08:30-22:00,09:00-22:00,train_gym
76,77,Спортивный зал «50 лет Октября»,Западный административный округ,район Солнцево,"улица 50 лет Октября, дом 1, корпус 1",(495) 733-57-64,55.64758424,37.414994391,зал тренажерный №2,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,закрыто,train_gym
77,78,Досуговый центр «Крылья»,Северо-Западный административный округ,район Митино,"Пятницкое шоссе, дом 6, корпус 3",(495) 759-60-00,55.837716838,37.390449638,зал тренажерный,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,закрыто,закрыто,train_gym
78,79,Спортивный зал «50 лет Октября»,Западный административный округ,район Солнцево,"улица 50 лет Октября, дом 1, корпус 1",(495) 733-57-64,55.647493234,37.415045353,зал тренажерный №4,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,закрыто,train_gym
79,80,Колледж физической культуры и спорта «Спарта»,Западный административный округ,район Кунцево,"улица Маршала Тимошенко, дом 36, корпус 2",(499) 141-90-22,55.747618619,37.401112756,зал тренажерный №2,08:30-21:00,08:30-21:00,08:30-21:00,08:30-21:00,08:30-21:00,08:30-21:00,закрыто,train_gym
80,81,Досуговый центр «Крылья»,Северо-Западный административный округ,район Митино,"улица Генерала Белобородова, дом 14, корпус 2",(495) 759-60-00,55.834594177,37.353846642,зал тренажерный,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-15:00,закрыто,train_gym
81,82,Спортивный комплекс МССУОР № 2,Западный административный округ,район Фили-Давыдково,"Малая Филёвская улица, дом 34, корпус 1",(499) 144-88-06,55.7344112,37.456663941,зал тренажерный №3,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,train_gym
82,83,Колледж физической культуры и спорта «Спарта»,Западный административный округ,район Кунцево,"улица Маршала Тимошенко, дом 36, корпус 2",(499) 141-90-22,55.747325981,37.401685408,зал тренажерный №1,08:30-21:00,08:30-21:00,08:30-21:00,08:30-21:00,08:30-21:00,08:30-21:00,закрыто,train_gym
83,84,Фитнес-клуб «Парислайф» Лобненская,Северный административный округ,Дмитровский район,"Лобненская улица, дом 4А",(499) 649-48-19,55.889797523,37.539508078,зал тренажерный №2,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,train_gym
84,85,Фитнес-клуб «Джаст джим»,Северо-Западный административный округ,район Митино,"Новотушинский проезд, дом 10",(495) 150-06-00,55.839004415,37.378806248,зал тренажерный №4,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,train_gym
85,86,Фитнес-клуб «Х-Фит Флотская»,Северный административный округ,район Левобережный,"Флотская улица, дом 5, корпус Б",(495) 748-16-44,55.852060118,37.492034363,зал тренажерный №2,07:00-23:59,07:00-23:59,07:00-23:59,07:00-23:59,07:00-23:59,08:00-23:00,08:00-23:00,train_gym
86,87,Фитнес-клуб «Зебра» Бабушкинская,Северо-Восточный административный округ,Бабушкинский район,"Енисейская улица, владение 14",(495) 150-37-70,55.875715262,37.66597393,зал тренажерный №1,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,train_gym
87,88,Физкультурно-оздоровительный комплекс «Вороново»,Троицкий административный округ,поселение Вороновское,"поселение Вороновское, посёлок ЛМС, микрорайон ""Центральный"", дом 40, строение 1",(495) 592-46-78,55.312606188,37.18183711,зал тренажерный,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,train_gym
88,89,Фитнес-клуб «Х-Фит Флотская»,Северный административный округ,район Левобережный,"Флотская улица, дом 5, корпус Б",(495) 748-16-44,55.851980169,37.492105298,зал тренажерный №1,07:00-23:59,07:00-23:59,07:00-23:59,07:00-23:59,07:00-23:59,08:00-23:00,08:00-23:00,train_gym
