,Id,Name,AdmArea,District,Address,HelpPhone,Latitude,Longitude,NameSummer,понедельник,вторник,среда,четверг,пятница,суббота,воскресенье,Type
358,359,Спортивный комплекс Государственного университета управления,Юго-Восточный административный округ,район Выхино-Жулебино,"Рязанский проспект, дом 99, корпус 7",(495) 371-98-33,55.714095,37.811528,бассейн плавательный 25-метровый крытый,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,pool_close
359,360,Фитнес-клуб «Номер один фит»,Восточный административный округ,район Косино-Ухтомский,"Лухмановская улица, дом 5",(495) 642-47-47,55.713126,37.899024,бассейн плавательный 25-метровый крытый,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,pool_close
360,361,Фитнес-клуб «Свобода фитнеса»,Северо-Западный административный округ,район Покровское-Стрешнево,"улица Водников, дом 2, строение 2",(495) 260-80-88,55.818221839,37.448299606,бассейн плавательный площадью более 60 кв.м крытый,07:00-00:00,07:00-00:00,07:00-00:00,07:00-00:00,07:00-00:00,09:00-22:00,09:00-22:00,pool_close
361,362,Фитнес-клуб «Ворлд класс» Щелковский,Восточный административный округ,район Гольяново,"Щёлковское шоссе, дом 75, строение 2",(495) 788-00-00,55.810998254,37.799347691,бассейн плавательный 25-метровый крытый,07:00-00:00,07:00-00:00,07:00-00:00,07:00-00:00,07:00-00:00,09:00-00:00,09:00-00:00,pool_close
362,363,Фитнес-клуб «Территория фитнеса» Братиславская,Юго-Восточный административный округ,район Марьино,"Перервинский бульвар, дом 4, корпус 1",(499) 283-48-86,55.662246,37.763931,бассейн плавательный 25-метровый крытый,06:00-23:55,06:00-23:55,06:00-23:55,06:00-23:55,06:00-23:55,09:00-23:00,09:00-23:00,pool_close
363,364,Физкультурно-оздоровительный комплекс «Арктика»,Западный административный округ,район Ново-Переделкино,"Новоорловская улица, дом 7",(499) 444-36-50,55.631881269,37.367372028,бассейн плавательный 25-метровый крытый,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,pool_close
364,365,Бассейн «Аквилль»,Юго-Западный административный округ,район Коньково,"улица Миклухо-Маклая, дом 16/10, строение 4",(925) 204-44-44,55.64887,37.510349,бассейн плавательный 25-метровый крытый,закрыто,18:15-21:00,15:15-19:30,15:15-21:00,закрыто,15:15-19:30,15:15-19:30,pool_close
365,366,Фитнес-клуб «Охана Фитнесс»,Юго-Восточный административный округ,район Некрасовка,"2-я Вольская улица, дом 11, строение 6",(499) 430-64-05,55.689171304,37.926081477,бассейн плавательный площадью более 60 кв.м крытый,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,pool_close
366,367,Фитнес-клуб «Охана Фитнесс»,Юго-Восточный административный округ,район Некрасовка,"2-я Вольская улица, дом 11, строение 6",(499) 430-64-05,55.689100093,37.926140486,бассейн плавательный 25-метровый крытый,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,pool_close
367,368,Бассейн плавательный СШ «Битца»,Южный административный округ,район Чертаново Северное,"Балаклавский проспект, дом 33, строение 2",(495) 955-93-93,55.642831028,37.579978926,бассейн плавательный 25-метровый крытый,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,pool_close
