,Unnamed: 0,Name,AdmArea,District,Address,HelpPhone,Latitude,Longitude,NameSummer,понедельник,вторник,среда,четверг,пятница,суббота,воскресенье,Type,Rating,NumReviews
2888,2888,Фитнес-клуб «Паллада» Отрадное,Северо-Восточный административный округ,район Отрадное,"Юрловский проезд, дом 13",(495) 278-07-06,55.868067605,37.622476256,зал спортивный №2,08:00-23:00,08:00-23:00,08:00-23:00,08:00-23:00,08:00-23:00,08:00-23:00,08:00-23:00,sport_gym,4.1,46
2889,2889,Крытое сооружение с искусственным льдом «Остров»,Юго-Западный административный округ,район Тёплый Стан,"улица Островитянова, дом 10, строение 2",(495) 727-27-26,55.638657473,37.503830681,зал спортивный №1,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,sport_gym,-1.0,-1
2890,2890,Крытое сооружение с искусственным льдом «Остров»,Юго-Западный административный округ,район Тёплый Стан,"улица Островитянова, дом 10, строение 2",(495) 727-27-26,55.63855430899999,37.503932605,зал спортивный №2,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,sport_gym,-1.0,-1
2891,2891,Спортивный зал,Северо-Восточный административный округ,район Отрадное,"Высоковольтный проезд, дом 2А",(906) 031-06-31,55.87207686399999,37.591147958,зал спортивный №2,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,sport_gym,-1.0,-1
2892,2892,Фитнес-клуб «Ворлд класс» Капитолий,Западный административный округ,район Раменки,"проспект Вернадского, дом 6",(495) 135-09-10,55.691626616,37.527776635,зал спортивный №1,08:00-00:00,08:00-00:00,08:00-00:00,08:00-00:00,08:00-00:00,09:00-00:00,09:00-00:00,sport_gym,4.2,85
2893,2893,Фитнес-клуб «Ворлд Класс» Земляной Вал,Центральный административный округ,Басманный район,"улица Земляной Вал, дом 9",(495) 229-95-95,55.761625777,37.658304074,зал спортивный №4,07:00-23:59,07:00-23:59,07:00-23:59,07:00-23:59,07:00-23:59,09:00-23:59,09:00-23:59,sport_gym,4.6,130
2894,2894,Дом культуры «Косино»,Восточный административный округ,район Косино-Ухтомский,"Большая Косинская улица, дом 5",(495) 950-55-94,55.713187653,37.853748782,зал спортивный,14:00-17:00,14:00-17:00,14:00-17:00,14:00-17:00,14:00-17:00,закрыто,закрыто,sport_gym,4.5,103
2895,2895,Парк «Парк 850-летия»,Юго-Восточный административный округ,район Марьино,"Поречная улица, дом 13, корпус 1",(495) 657-45-05,55.642050592,37.743368258,зал гребных видов спорта,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,sport_gym,-1.0,-1
2896,2896,Досуговый центр «Русич»,Юго-Восточный административный округ,Нижегородский район,"Смирновская улица, дом 25, строение 15",(903) 721-02-33,55.737193615,37.714011958,зал спортивный №2,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,12:00-16:00,закрыто,sport_gym,-1.0,-1
2897,2897,Фитнес-клуб «Камон Джин»,Юго-Западный административный округ,район Тёплый Стан,"улица Академика Варги, дом 8, корпус 1",(499) 460-75-60,55.630141,37.474453,зал спортивный,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,sport_gym,-1.0,24
