,Name,AdmArea,District,Address,HelpPhone,Latitude,Longitude,NameSummer,понедельник,вторник,среда,четверг,пятница,суббота,воскресенье,Type
1099,Спортивный комплекс образовательного учреждения,Зеленоградский административный округ,район Крюково,"город Зеленоград, корпус 1556",(499) 717-27-47,55.980036245,37.153970689,зал спортивный №1,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,10:00-14:00,закрыто,sport_gym
1100,Спортивный комплекс образовательного учреждения,Северный административный округ,Головинский район,"Фестивальная улица, дом 42",(495) 453-91-03,55.86212319,37.510437117,зал спортивный,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,sport_gym
1101,Спортивно-досуговый центр «Ратмир»,Юго-Западный административный округ,район Зюзино,"Симферопольский бульвар, дом 18, корпус 2",(495) 318-71-18,55.650308662,37.604185595,спортивный зал,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,sport_gym
1102,Спортивный комплекс образовательного учреждения,Северный административный округ,Головинский район,"Флотская улица, дом 60",(495) 453-44-25,55.853555527,37.507856907,зал спортивный №2,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,09:00-21:00,09:00-21:00,sport_gym
1103,Спортивный комплекс образовательного учреждения,Северный административный округ,Головинский район,"Флотская улица, дом 60",(495) 453-44-25,55.853842446,37.507975622,зал спортивный №1,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,09:00-21:00,09:00-21:00,sport_gym
1104,Спортивный комплекс дошкольного образовательного учреждения,Восточный административный округ,район Перово,"2-я Владимирская улица, дом 24",(495) 306-27-37,55.755063316,37.780977034,зал спортивный,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,закрыто,закрыто,sport_gym
1105,Спортивный комплекс среднего профессионального образовательного учреждения,Центральный административный округ,район Замоскворечье,"Пятницкая улица, дом 46, строение 3",(499) 235-17-87,55.736676424,37.62727542,зал спортивный,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-20:00,12:00-21:00,12:00-21:00,sport_gym
1106,Спортивный комплекс образовательного учреждения,Западный административный округ,район Раменки,"Мичуринский проспект, дом 15, корпус 1",(495) 932-75-01,55.697492144,37.509382614,зал спортивный №2,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,sport_gym
1107,Спортивный комплекс образовательного учреждения,Западный административный округ,район Раменки,"Мичуринский проспект, дом 15, корпус 1",(495) 932-75-01,55.697589093,37.509629377,зал спортивный №1,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,sport_gym
1108,Спортивный комплекс дошкольного образовательного учреждения,Юго-Восточный административный округ,район Текстильщики,"Грайвороновская улица, дом 10, корпус 3",(499) 754-13-67,55.717497591,37.732805372,зал спортивный,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,закрыто,закрыто,sport_gym
1109,Спортивный комплекс образовательного учреждения,Юго-Восточный административный округ,район Текстильщики,"Волжский бульвар, дом 6, корпус 3",(499) 177-56-92,55.717503466,37.737178821,зал спортивный №2,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,закрыто,закрыто,sport_gym
1110,Спортивный комплекс образовательного учреждения,Юго-Восточный административный округ,район Текстильщики,"Волжский бульвар, дом 6, корпус 3",(499) 177-56-92,55.717487799,37.737329986,зал спортивный №1,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,закрыто,закрыто,sport_gym
1111,Спортивный зал «Энергия»,Зеленоградский административный округ,район Силино,"город Зеленоград, корпус 1132",(499) 731-52-20,55.995101792,37.170575445,зал спортивный,15:00-22:00,15:00-22:00,15:00-22:00,15:00-22:00,15:00-22:00,закрыто,закрыто,sport_gym
1112,Региональная общественная организация Федерация авиамодельного спорта Москвы,Зеленоградский административный округ,район Матушкино,"город Зеленоград, корпус 146",(910) 518-67-85,56.008905332,37.206726032,зал спортивный,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,sport_gym
1113,Спортивный комплекс образовательного учреждения,Северо-Восточный административный округ,Останкинский район,"Калибровская улица, дом 24Б",(495) 615-50-20,55.809914,37.619249,зал спортивный,18:00-20:00,18:00-20:00,18:00-20:00,18:00-20:00,18:00-20:00,закрыто,закрыто,sport_gym
1114,Спортивный комплекс образовательного учреждения,Северный административный округ,район Беговой,"Беговая улица, дом 19",(495) 945-86-04,55.782345318,37.55907925,зал спортивный,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,sport_gym
